location,target_count,target_sum,geodata,address,point
"barcelona, spain",1,0,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","(41.3828939, 2.1774322, 0.0)"
"bartholomew county, indiana",1,1,"Bartholomew County, Indiana, United States of America","Bartholomew County, Indiana, United States of America","(39.1914156, -85.8204601, 0.0)"
"based out of portland, oregon",1,0,,,
"basketball city, usa ",1,0,"basketball, Washington, District of Columbia, United States of America","basketball, Washington, District of Columbia, United States of America","(38.84341125, -76.98630891262773, 0.0)"
"basking ridge, nj",1,0,"Basking Ridge, Bernards Township, Somerset County, New Jersey, 07924, United States of America","Basking Ridge, Bernards Township, Somerset County, New Jersey, 07924, United States of America","(40.7064088, -74.5492725, 0.0)"
bathtub de bett ,1,0,,,
baton rouge,1,0,"Baton Rouge, East Baton Rouge Parish, Louisiana, United States of America","Baton Rouge, East Baton Rouge Parish, Louisiana, United States of America","(30.4459596, -91.18738, 0.0)"
"baton rouge, la",2,0,"Baton Rouge, East Baton Rouge Parish, Louisiana, United States of America","Baton Rouge, East Baton Rouge Parish, Louisiana, United States of America","(30.4459596, -91.18738, 0.0)"
bay area,1,0,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","(37.7884969, -122.3558473, 0.0)"
"bay area, ca",1,0,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","(37.7884969, -122.3558473, 0.0)"
baydestrian,1,1,,,
"bayonne, nj",1,0,"Bayonne, Hudson County, New Jersey, 07002, United States of America","Bayonne, Hudson County, New Jersey, 07002, United States of America","(40.6687141, -74.1143091, 0.0)"
bc,1,0,"British Columbia, Canada","British Columbia, Canada","(55.001251, -125.002441, 0.0)"
beacon hills,1,0,"Beacon Hills, Town of Fishkill, Dutchess County, New York, 12527, United States of America","Beacon Hills, Town of Fishkill, Dutchess County, New York, 12527, United States of America","(41.509538, -73.9284707, 0.0)"
beacon hills ,1,1,"Beacon Hills, Town of Fishkill, Dutchess County, New York, 12527, United States of America","Beacon Hills, Town of Fishkill, Dutchess County, New York, 12527, United States of America","(41.509538, -73.9284707, 0.0)"
"beaumont, tx",1,1,"Beaumont, Jefferson County, Texas, United States of America","Beaumont, Jefferson County, Texas, United States of America","(30.0860459, -94.1018461, 0.0)"
beautiful british columbia,1,0,"Mount Beautiful, Electoral Area A, Metro Vancouver Regional District, British Columbia, Canada","Mount Beautiful, Electoral Area A, Metro Vancouver Regional District, British Columbia, Canada","(49.376361, -122.8264175, 0.0)"
bedford in ,1,1,"Bedford, Lawrence County, Indiana, 47421, United States of America","Bedford, Lawrence County, Indiana, 47421, United States of America","(38.8611619, -86.4872149, 0.0)"
"bedford, england",1,0,"Bedford, East of England, England, MK40 1SU, United Kingdom","Bedford, East of England, England, MK40 1SU, United Kingdom","(52.1363806, -0.4675041, 0.0)"
behind the obama curtain,1,1,,,
"beirut, lebanon",1,1,"بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","بيروت, رأس بيروت, محافظة بيروت, لبنان  Lebanon","(33.8959203, 35.47843, 0.0)"
"belbroughton, england",1,1,"Belbroughton, Worcestershire, West Midlands, England, DY9, United Kingdom","Belbroughton, Worcestershire, West Midlands, England, DY9, United Kingdom","(52.3909581, -2.1189561, 0.0)"
belfast,1,0,"Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom","(54.5964411, -5.9302761, 0.0)"
belgium,2,1,België / Belgique / Belgien,België / Belgique / Belgien,"(50.6402809, 4.6667145, 0.0)"
belgrade,1,0,"Београд, Градска општина Стари град, Град Београд, Централна Србија, 11000, Србија (Serbia)","Београд, Градска општина Стари град, Град Београд, Централна Србија, 11000, Србија (Serbia)","(44.8178131, 20.4568974, 0.0)"
belleville,1,0,"Belleville, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54940, France","Belleville, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54940, France","(48.8176714, 6.0982683, 0.0)"
"belleville, illinois",1,0,"Belleville, Saint Clair, Illinois, United States of America","Belleville, Saint Clair, Illinois, United States of America","(38.5200504, -89.9839935, 0.0)"
bellevue ne,1,1,"Bellevue, Sarpy County, Nebraska, United States of America","Bellevue, Sarpy County, Nebraska, United States of America","(41.1366494, -95.8907373, 0.0)"
"bellville, ohio",1,0,"Bellville, Jefferson Township, Richland County, Ohio, United States of America","Bellville, Jefferson Township, Richland County, Ohio, United States of America","(40.6200589, -82.5107222, 0.0)"
"bend, oregon",4,4,"Bend, Deschutes County, Oregon, United States of America","Bend, Deschutes County, Oregon, United States of America","(44.0581728, -121.3153096, 0.0)"
benedict college,1,0,"Benedict College, Harden Street, Allen Benedict Court, Columbia, Richland County, South Carolina, 29204, United States of America","Benedict College, Harden Street, Allen Benedict Court, Columbia, Richland County, South Carolina, 29204, United States of America","(34.01396275, -81.02097288919151, 0.0)"
"benicia, ca ",1,0,"Benicia, Solano County, California, 94510, United States of America","Benicia, Solano County, California, 94510, United States of America","(38.049365, -122.1585777, 0.0)"
"benton city, washington",1,1,"Benton City, Benton County, Washington, United States of America","Benton City, Benton County, Washington, United States of America","(46.2631897, -119.487802, 0.0)"
"berlin, germany",2,2,"Berlin, Deutschland","Berlin, Deutschland","(52.5170365, 13.3888599, 0.0)"
"berlin, ny, dc, malibu",1,1,,,
beside basketball,1,1,,,
bestcoast,1,0,,,
between dire and radiant,1,0,,,
between the worlds ,1,0,"Between Two Worlds, 88th Avenue Southeast, Fortuna, Mercer Island, King County, Washington, 98040, United States of America","Between Two Worlds, 88th Avenue Southeast, Fortuna, Mercer Island, King County, Washington, 98040, United States of America","(47.5667266, -122.2213952, 0.0)"
bhubneshwar,1,0,,,
big northeast litter box,1,0,,,
bikini bottom,1,0,"Bikini Bottom, Hai Bà Trưng, Trà Quế, Hội An, Thành phố Hội An, Tỉnh Quảng Nam, 563868, Việt Nam","Bikini Bottom, Hai Bà Trưng, Trà Quế, Hội An, Thành phố Hội An, Tỉnh Quảng Nam, 563868, Việt Nam","(15.912816, 108.3402148, 0.0)"
"biloxi, mississippi",1,0,"Biloxi, Harrison County, Mississippi, United States of America","Biloxi, Harrison County, Mississippi, United States of America","(30.374673, -88.84594333482862, 0.0)"
"birdland, new meridian, fd",1,0,,,
birmingham,4,3,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911, 0.0)"
birmingham and the marches,1,1,,,
birmingham uk,1,1,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911, 0.0)"
"birmingham, england",3,1,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911, 0.0)"
"birmingham, uk",1,1,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911, 0.0)"
"birmingham, united kingdom",1,1,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911, 0.0)"
"bishops lydeard, england",1,0,"Bishops Lydeard, Somerset, South West England, England, TA4 3LH, United Kingdom","Bishops Lydeard, Somerset, South West England, England, TA4 3LH, United Kingdom","(51.057726, -3.1874029, 0.0)"
"bishops stortford, england",1,1,"Bishop's Stortford, London Road, Bishop's Stortford, East Hertfordshire, Hertfordshire, East of England, England, CM23 3EE, United Kingdom","Bishop's Stortford, London Road, Bishop's Stortford, East Hertfordshire, Hertfordshire, East of England, England, CM23 3EE, United Kingdom","(51.8664372, 0.1654422, 0.0)"
"black canyon new river, az",1,1,,,
blackpool,2,2,"Blackpool, North West England, England, United Kingdom","Blackpool, North West England, England, United Kingdom","(53.824548300000004, -3.037319995021968, 0.0)"
bleak house,1,1,"Bleak House, Church Road, Broadstairs and St Peters, Thanet, Kent, South East, England, CT10 1EZ, United Kingdom","Bleak House, Church Road, Broadstairs and St Peters, Thanet, Kent, South East, England, CT10 1EZ, United Kingdom","(51.3598358, 1.4449668, 0.0)"
blogland,1,0,,,
"bloomington, in",1,0,"Bloomington, Monroe County, Indiana, United States of America","Bloomington, Monroe County, Indiana, United States of America","(39.1670396, -86.5342881, 0.0)"
"bloomington, indiana",1,1,"Bloomington, Monroe County, Indiana, United States of America","Bloomington, Monroe County, Indiana, United States of America","(39.1670396, -86.5342881, 0.0)"
"boise, idaho",2,2,"Boise, Ada County, Idaho, United States of America","Boise, Ada County, Idaho, United States of America","(43.6166163, -116.200886, 0.0)"
"bokaro steel city, jharkhand",1,0,"Bokaro Steel City, NH320, Bokaro Township, Bokaro, Chas, Bokaro, Jharkhand, 827011, India","Bokaro Steel City, NH320, Bokaro Township, Bokaro, Chas, Bokaro, Jharkhand, 827011, India","(23.6579595, 86.0839161, 0.0)"
boksburg,1,0,"Boksburg, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1460, South Africa","Boksburg, City of Ekurhuleni Metropolitan Municipality, Gauteng, 1460, South Africa","(-26.2124639, 28.2617471, 0.0)"
"bolivar, mo",1,0,"Bolivar, Polk County, Missouri, 65613, United States of America","Bolivar, Polk County, Missouri, 65613, United States of America","(37.6110502, -93.4107968, 0.0)"
bombardment bay,1,1,"Het Vergeten Bombardement, Rösener Manzstraat, Tussendijken, Delfshaven, Rotterdam, Zuid-Holland, Nederland, 3026TN, Nederland","Het Vergeten Bombardement, Rösener Manzstraat, Tussendijken, Delfshaven, Rotterdam, Zuid-Holland, Nederland, 3026TN, Nederland","(51.9128307, 4.440375, 0.0)"
bon temps louisiana,1,0,"Bon Temps Drive, Broadmoor, Lafayette, Lafayette Parish, Louisiana, 70506, United States of America","Bon Temps Drive, Broadmoor, Lafayette, Lafayette Parish, Louisiana, 70506, United States of America","(30.212398, -92.080627, 0.0)"
"books published, usa",1,0,,,
born in baltimore living in pa,1,0,,,
bossland,1,0,,,
boston,4,2,"Boston, Suffolk County, Massachusetts, United States of America","Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912, 0.0)"
boston ma,2,0,"Boston, Suffolk County, Massachusetts, United States of America","Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912, 0.0)"
"boston, ma",5,1,"Boston, Suffolk County, Massachusetts, United States of America","Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912, 0.0)"
"boston, massachusetts",1,1,"Boston, Suffolk County, Massachusetts, United States of America","Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912, 0.0)"
bot account,1,0,,,
boulder,1,0,"Boulder, Boulder County, Colorado, United States of America","Boulder, Boulder County, Colorado, United States of America","(40.0149856, -105.2705456, 0.0)"
"boulder, co",1,1,"Boulder, Boulder County, Colorado, United States of America","Boulder, Boulder County, Colorado, United States of America","(40.0149856, -105.2705456, 0.0)"
bournemouth,2,0,"Bournemouth, South West England, England, BH1 2BU, United Kingdom","Bournemouth, South West England, England, BH1 2BU, United Kingdom","(50.7194784, -1.8767712, 0.0)"
"bournemouth, dorset, uk",1,1,"Bournemouth, South West England, England, BH1 2BU, United Kingdom","Bournemouth, South West England, England, BH1 2BU, United Kingdom","(50.7194784, -1.8767712, 0.0)"
"bow, nh",1,0,"Bow, Merrimack County, New Hampshire, 03304, United States of America","Bow, Merrimack County, New Hampshire, 03304, United States of America","(43.133061, -71.549149, 0.0)"
"bozeman, montana",1,0,"Bozeman, Gallatin County, Montana, United States of America","Bozeman, Gallatin County, Montana, United States of America","(45.6794293, -111.0440474, 0.0)"
"brackley beach, pe, canada",1,0,"Brackley Beach, Charlottetown, Queens County, Prince Edward Island, C1E 1Z3, Canada","Brackley Beach, Charlottetown, Queens County, Prince Edward Island, C1E 1Z3, Canada","(46.4240447, -63.1920774, 0.0)"
bracknell,1,1,"Bracknell, Easthampstead, Bracknell Forest, South East, England, United Kingdom","Bracknell, Easthampstead, Bracknell Forest, South East, England, United Kingdom","(51.4060111, -0.7588572953575845, 0.0)"
brasil,5,1,Brasil,Brasil,"(-10.3333333, -53.2, 0.0)"
"brasil, fortaleza ce",1,0,"Fortaleza, Microrregião de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, Brasil","Fortaleza, Microrregião de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, Brasil","(-3.7304512, -38.5217989, 0.0)"
"brasil,sp",1,0,"São Paulo, Região Sudeste, Brasil","São Paulo, Região Sudeste, Brasil","(-21.9549806, -49.0232348, 0.0)"
brazil,3,0,Brasil,Brasil,"(-10.3333333, -53.2, 0.0)"
brazil ,1,0,Brasil,Brasil,"(-10.3333333, -53.2, 0.0)"
"brazos valley, texas",1,1,"Brazos County, Texas, United States of America","Brazos County, Texas, United States of America","(30.65215735, -96.38111441360186, 0.0)"
breaking news,2,2,"Breaking News Network, Godwin Avenue, Southwest Ridgewood, Wortendyke, Midland Park, Bergen County, New Jersey, 07432, United States of America","Breaking News Network, Godwin Avenue, Southwest Ridgewood, Wortendyke, Midland Park, Bergen County, New Jersey, 07432, United States of America","(40.99279545, -74.14261747085988, 0.0)"
"brecksville, oh",1,0,"Brecksville, Cuyahoga County, Ohio, 44141, United States of America","Brecksville, Cuyahoga County, Ohio, 44141, United States of America","(41.3197763, -81.6267904, 0.0)"
"bremerton, wa",1,1,"Bremerton, Kitsap County, Washington, United States of America","Bremerton, Kitsap County, Washington, United States of America","(47.5653663, -122.6246836, 0.0)"
"brentwood, ny",1,0,"Brentwood, 8th Street, Brentwood, Suffolk County, New York, 11717, United States of America","Brentwood, 8th Street, Brentwood, Suffolk County, New York, 11717, United States of America","(40.7810749, -73.2424884, 0.0)"
"brentwood,tn",1,0,"Brentwood, Williamson County, Tennessee, 37027, United States of America","Brentwood, Williamson County, Tennessee, 37027, United States of America","(36.0325687, -86.7825235, 0.0)"
"bridport, england",1,0,"Bridport, Dorset, South West England, England, United Kingdom","Bridport, Dorset, South West England, England, United Kingdom","(50.733785, -2.7589005, 0.0)"
brighton and hove,1,0,"Brighton and Hove, South East, England, United Kingdom","Brighton and Hove, South East, England, United Kingdom","(50.845221249999994, -0.14975850541139246, 0.0)"
